Formula,E_hull_DFT (eV/atom),E_hull_ML (eV/atom),Delta (ML - DFT)
LiCa4Ag,9.1107,8.4581,-0.6526
Ta3NbI,57.1125,53.5849,-3.5276
SiCN,18.9355,15.3435,-3.5919
PrYGa2,8.5706,9.3123,0.7417
As(PPb)2,27.4872,26.6649,-0.8224
Sc2CrF8,9.8699,7.7496,-2.1203
Ta2OsRh,32.4423,35.3436,2.9013
NaTl(CuS)2,33.2829,27.93,-5.3529
TaTeOsI2,34.8496,34.6672,-0.1824
CrNiO2F,13.7732,12.3486,-1.4247
AcInAs2,25.588,27.1517,1.5637
SnSbBr2,30.0645,28.0954,-1.9691
Ta2Be,19.323,26.4958,7.1727
Pr5YTl2,13.2243,13.7876,0.5633
K3TePd,19.015,18.1397,-0.8754
MoAs2Ru,21.2681,16.483,-4.7851
Na4Pd3,21.5772,19.3268,-2.2504
PrY2Ta,34.209,29.915,-4.294
PrYLu2,19.8398,22.4763,2.6365
UPdRh,36.6302,36.6148,-0.0154
Na2LiCrF6,12.7907,11.1967,-1.594
PrY2Zr,31.159,29.0302,-2.1288
Ba4SiIr,10.6936,10.7376,0.0441
Pr12Tl6Rh,15.3936,15.9545,0.5609
Mg2Bi3H2,27.3561,27.5683,0.2122
RbRu,35.531,32.0094,-3.5216
Rb3RuN,30.5762,25.5807,-4.9956
Pr12Cu6Ir,3.2179,3.1427,-0.0751
HfCdSeN2,43.9484,34.0455,-9.9029
CaScCu10,12.2205,10.9926,-1.2279
KY2Ir,21.0441,23.2089,2.1647
Tl2CrCuF6,14.6259,13.5765,-1.0494
YSiTc2Pt,90.7248,70.2695,-20.4553
La3Eu,45.8733,33.6139,-12.2594
HfSeN2F,40.9532,30.6105,-10.3426
NaPr2Y,8.9291,8.2283,-0.7008
Li2MnCrF8,18.5732,15.3355,-3.2377
NaSm5Sn3,18.3041,20.6196,2.3155
LiPu2ThTe4,46.3128,46.5605,0.2476
LaWI2,34.6587,31.4756,-3.1831
PRuW,95.692,82.7261,-12.9659
SrCo5H12,2.4315,3.4098,0.9783
FeAg2P,33.5014,26.2394,-7.2619
PRu2W,76.1864,66.162,-10.0244
Tb2TcNi,38.6415,36.7114,-1.9301
CoMoRh,23.5708,22.1957,-1.3751
Pm4Er15Tm,28.5353,30.0023,1.4669
RbZr(TeO4)2,15.7571,13.4271,-2.33
SrBe2CrF8,9.9091,8.3215,-1.5876
TiCu2H8Rh3,15.6909,11.9582,-3.7326
SrCrNF2,17.0643,13.5579,-3.5063
Mn2Be4I,38.6922,31.9534,-6.7387
BaAlIr4,35.867,35.8233,-0.0437
SrCr2CoF8,12.7898,10.3028,-2.487
Zr2Sc2As,46.1688,37.4114,-8.7575
TeWSe,35.8072,37.5485,1.7414
PrYIr2,24.2376,27.5086,3.271
CrSbO2F,23.7585,21.0184,-2.7401
Cu2C,20.5789,18.865,-1.7139
Zn2CrAg,15.4696,12.4906,-2.979
KYPb,21.9613,24.2567,2.2954
As2RuPt,36.5213,27.3852,-9.1362
CrBi2RuF,31.2818,30.2612,-1.0206
Sc2NiAs,19.506,15.5705,-3.9356
BaCaAc4,43.8965,45.5431,1.6466
RuWO2,28.1494,23.6668,-4.4826
K2NpTe4Au,38.2192,38.2365,0.0173
ZnCrBiF6,11.8089,11.6461,-0.1628
NaTb5Hg3,14.0857,15.6367,1.551
Sr4BeAs,17.8809,13.069,-4.8118
BaLiCa4,4.9024,5.3362,0.4337
Co3MoRh,18.1705,16.6415,-1.529
Na3Tl5Ag,39.849,37.6683,-2.1807
Pm2PrY2Tm,12.6202,16.3698,3.7496
ScWBr,20.2602,21.2133,0.9531
FeOs2C,46.4646,40.2113,-6.2533
FeRe4Ir,41.7178,42.1604,0.4426
NaSm5In3,18.9343,20.9907,2.0564
CaLaZn10,11.3321,10.3188,-1.0133
K3Nd(YTe3)2,27.0186,26.803,-0.2156
FeSnC2,37.3706,28.3072,-9.0634
FeSnN,12.4967,12.74,0.2433
CsCd10In,19.6931,20.2798,0.5866
Ac2TlReO8,22.9301,23.7461,0.816
CaHfI2,44.9092,35.193,-9.7163
PmPr2(YAs2)3,9.6231,10.577,0.9538
Cd10InPb,22.1122,22.7646,0.6524
Tb3(SmSn2)2,17.7171,20.8727,3.1557
BeFeAg2,25.2543,17.8665,-7.3877
SrCa3(SeO3)4,23.5764,21.1102,-2.4662
AlSiN5,1.3348,3.3371,2.0024
Mn2IrN,43.1364,38.8592,-4.2772
SiRh,24.9422,22.4155,-2.5267
Ta2CrOs,56.6308,50.3874,-6.2434
Cs3Rb5Na,11.8891,11.0198,-0.8693
CaTcMo4,26.9012,26.9634,0.0622
Rb3PrY2O6,15.5985,13.4856,-2.1129
Ho2Hf(SeN)2,40.9744,33.8013,-7.1731
Al3Tc,0.0,1.071,1.071
CaBeIrO5,9.3035,11.4769,2.1734
LiRhPb2,34.65,34.3276,-0.3225
Sc2CdPdC,24.4596,20.2454,-4.2142
AlTc3,71.6108,59.643,-11.9677
CaHgBr4,4.5863,6.7368,2.1505
La5TbPrY2,29.8983,21.3333,-8.5651
Re4TcNi,56.4617,48.7998,-7.6619
CaNdBr4,10.9374,11.9179,0.9805
RbNaCdTe2,25.1901,23.5498,-1.6402
TbPr2Y5Th,12.1743,14.5413,2.367
Ca2TaOs,22.8399,26.0118,3.172
CePrCo10,9.0438,10.0386,0.9948
Ni2AgAs2,23.3298,17.8481,-5.4816
Nd3HfPb5,47.8109,45.716,-2.0949
SrTi4(PO4)6,6.9069,6.6485,-0.2584
CrSe4Cl,38.5283,31.5496,-6.9787
PrNd15Er4,24.1332,25.5775,1.4443
Ca2SbO,36.5573,30.8179,-5.7394
CaCu2W,17.136,17.2632,0.1272
NaSi2AgSe,27.3129,20.0738,-7.239
CaCu2W,16.613,17.2632,0.6502
Sc2CdTcC,67.074,54.0508,-13.0233
LaFeW2,36.4201,32.5923,-3.8278
MnCoBr,41.3857,30.8177,-10.568
CaScOF2,53.7612,46.5575,-7.2037
HfSeIN2,46.2496,34.639,-11.6105
CrAgRh,29.9844,22.8587,-7.1257
SrVSi3,40.14,28.069,-12.0711
CoRe2Rh,34.2817,34.4862,0.2045
Cr2Co2Os,6.5517,10.5371,3.9854
CoReRh3,40.1338,31.9214,-8.2124
SrCa2PdO,26.1216,23.0817,-3.0399
CaZr2PbO,67.8241,58.6023,-9.2219
AlBi2F,40.5415,38.5548,-1.9867
Tl4CuTc,51.5535,49.1052,-2.4483
TcNiRu4,27.8631,27.9178,0.0547
CoRu4Pb,22.7721,23.9527,1.1806
LiLa2Fe,43.0261,32.0387,-10.9873
YGe2Au,16.8332,18.3255,1.4923
LaPr4Y3S8,31.7708,23.2102,-8.5606
La4ScPb,44.2408,33.409,-10.8318
Sc2CdRe,41.3574,33.6758,-7.6816
CaCeRu,15.3373,17.7809,2.4436
ErTm4Sc15,11.4539,12.901,1.4471
CaAcCu4,17.2307,17.5139,0.2832
Pm2ZrSc,39.8443,35.6528,-4.1915
Na2IrPdBr,25.0516,23.4505,-1.6011
Cs2HfGa2,40.2304,32.6347,-7.5957
GePt,21.566,16.7085,-4.8575
Na2LaInBr6,17.4762,15.987,-1.4892
V2BMo2,49.0822,41.7748,-7.3073
SrCaGe4,0.0,0.6654,0.6654
PrY2Cu3,24.604,19.3067,-5.2972
Ta2As,18.1108,27.8014,9.6907
Ti4Sn2Au3,35.7323,27.4546,-8.2777
PmNd5Tm3,22.5376,25.7517,3.2141
Tb3Nd5Sm,21.1679,23.9183,2.7504
Er3NiSn3,19.9008,21.6195,1.7187
CeSmY,21.3293,24.4532,3.1239
Zn2CrAu,19.4732,19.269,-0.2042
KCa9Mn(PO4)7,21.6568,17.1209,-4.5359
Pr15Er4Sc,2.63,3.9948,1.3648
Nd5Sm3Ho,20.973,24.2981,3.3251
Nd5SmHo3,21.7651,24.5151,2.75
H4PbI3N,2.4392,5.2608,2.8216
Co2(Ni7B2)3,9.9992,9.8397,-0.1595
CoOs2Ru,26.62,31.7427,5.1226
Hf4Os3Ru,88.813,69.8048,-19.0083
Ta2OsPb,42.2823,46.0928,3.8105
CaAcGa4,16.6545,18.4504,1.7959
CaDyGa4,10.462,12.3657,1.9037
NiPb3Au,43.0859,43.879,0.7931
CaRuO2F,27.6013,23.4685,-4.1328
InRe2P,46.6775,41.9355,-4.742
NiPbAu2,38.5759,41.7571,3.1812
NaCoIr2,24.3234,28.9131,4.5897
Ca2Zn(IO)2,32.6773,30.269,-2.4083
Ni2RhAu,27.3302,25.7803,-1.5499
Cu4RuCl,9.381,10.0178,0.6367
FeMo,18.0531,14.2515,-3.8016
Al2BiF,31.3302,29.1525,-2.1778
Na4SiSe4,29.3698,22.8576,-6.5122
NaPbI2,30.3728,29.8325,-0.5404
Sc4GaPd,11.2171,11.1161,-0.101
TlIr2,46.5122,49.4234,2.9112
Pr3Nd2Y,4.62,7.4408,2.8208
NdYHo2,23.801,26.8469,3.0459
PuBi2Pb,58.4239,60.2563,1.8324
Pm5NdIr3,23.8623,28.6794,4.8171
SrMnRu4,30.0627,28.3903,-1.6725
Th2Zn4Ga3Au,23.0793,24.7263,1.6469
AcPrGd,29.724,32.5693,2.8453
SiPt,33.1934,23.8857,-9.3077
CaTbIn4,18.1152,19.82,1.7048
AgC,14.7851,8.5957,-6.1894
Pr3Nd4YTe8,26.3583,26.1445,-0.2138
ScIn3Br,18.5184,16.4039,-2.1145
K(YGe)2,15.078,12.7516,-2.3264
SrNbBr2,46.3157,39.4086,-6.907
TaSbTe2Os,43.007,40.4646,-2.5424
Nb3BiBr,99.1957,83.7309,-15.4649
BePbAu4,40.6162,42.1688,1.5526
AcPrGd,29.7761,32.5693,2.7932
CuIrPt2,51.8031,42.2187,-9.5844
CaMn2Cu3(RuO6)2,37.5639,33.5688,-3.9951
Ca2ZnFe(SiO3)4,17.0413,14.282,-2.7592
NaPr2(YTe2)3,24.9156,23.8686,-1.047
Sm3Au,30.405,33.1554,2.7504
Sc2BIr,14.2846,14.6074,0.3228
Sm2Au,31.9476,34.9226,2.975
Ba3SmRu2O9,0.0,0.0,0.0
Ti4V2Pd3,36.5245,32.3954,-4.1292
AgOsI2,31.0073,29.6129,-1.3944
TbY2PuN4,42.1492,39.0476,-3.1016
ScIn2Br,13.8987,13.9068,0.0081
Tb2YHfN4,38.7823,33.3523,-5.43
CrCoOs2,25.1628,28.6139,3.4511
BaRh(PbO4)2,12.6352,12.8898,0.2546
LiCa4Ni,7.3169,6.5543,-0.7626
AlAg2P,33.6244,25.7811,-7.8432
CsAc(BiAu)2,48.1296,49.5453,1.4157
Sr3(TlAu2)2,36.2106,37.4804,1.2698
Er4Tm15Sc,29.1436,30.5703,1.4267
TaCuSi2,13.0604,14.8012,1.7408
Mo2PIr,31.1526,25.9671,-5.1855
TcPBr4,25.2365,22.4977,-2.7388
TaCu3Si,18.3239,16.1464,-2.1775
MoPIr3,38.146,35.6836,-2.4624
Ca2TaVO6,29.7054,26.6187,-3.0867
CaSb3P3O13,18.6831,14.7034,-3.9797
LiAl2I,13.0347,9.9406,-3.0941
SrCaNi4,9.6281,7.6917,-1.9364
Mo2PIr,30.9992,25.9671,-5.0321
La2Ti4Nb,38.5581,31.5903,-6.9678
CuIr4Cl,32.4067,33.8156,1.4089
CaYW2,28.2914,25.0017,-3.2897
TbY3N4,48.5203,41.1401,-7.3802
ZnGa2P,15.3642,13.4035,-1.9608
Ni21(B3Mo)2,10.5034,10.6021,0.0988
Sr(ZrIn)2,44.8323,41.0082,-3.8241
HoNpCo10,13.2286,15.5227,2.2941
ZnTcPb3,52.0753,49.2626,-2.8128
CaGaTeO5,20.2524,18.0655,-2.1868
CaNpGaO5,19.9045,20.8852,0.9807
Ho3Tm(ThRu3)2,28.2572,31.1478,2.8906
Ca2Nd4Sn3O2,31.4517,29.1134,-2.3383
CaRhOF2,30.6773,25.5294,-5.148
TaSb2Os,42.4968,40.0915,-2.4053
TcIr2,51.4834,51.7694,0.2861
CaPaPtO5,22.064,21.3692,-0.6947
TlCuAgH2,21.9953,19.7901,-2.2052
Pm4Pb2Au,35.6764,37.2847,1.6083
Na4BeI2,25.9162,22.93,-2.9862
SrRuF2,8.3749,9.0042,0.6293
Ca12Sn4PbO3,22.9731,21.1712,-1.8018
LaNpCo10,15.2228,15.8263,0.6035
CaNb2Tl2O7,38.2107,34.0019,-4.2088
CaAlSeO5,10.651,10.742,0.091
TaOs2Pb,43.738,47.7004,3.9624
TcNiIr,47.9838,46.1164,-1.8675
Sc(TcAs)2,64.3801,54.255,-10.1252
TaOs2Pt,52.26,49.7041,-2.5559
BeTcAs2,32.1599,26.2969,-5.8631
BaMgMn,36.9085,27.2773,-9.6312
K2ReAg,24.9702,22.7847,-2.1856
Be2TcAs,30.2733,24.5621,-5.7112
TePI2O,34.8323,29.322,-5.5103
RbLi3C,14.9331,10.4278,-4.5053
BeTcAs,39.7022,32.9524,-6.7498
BiSbRu3,30.8867,30.8596,-0.0272
RbLi,0.0,0.0,0.0
TbHoAl,19.143,21.874,2.731
CaLa2BeO5,9.9278,11.239,1.3112
CaGd2BeO5,0.0,0.0,0.0
BaRh(IO4)2,19.4183,16.5308,-2.8874
IrPbBr2,37.8909,34.5263,-3.3646
TmNi5As3,16.63,13.8736,-2.7564
BeTc2As,52.9292,43.4717,-9.4575
BaAl2Te,21.37,18.0932,-3.2767
BeTc2As,52.7497,43.4717,-9.278
CaUCuO5,11.5548,15.1617,3.6069
CaCuIrO5,11.1433,13.1595,2.0161
Er15ThSc4,26.3818,27.8554,1.4736
Al2TlV2,57.6061,48.6553,-8.9508
CaCr2Fe,27.2943,18.9605,-8.3338
Ca2TbPdO6,27.2487,25.0205,-2.2282
In5Ru,19.3061,21.5125,2.2064
Y2TcN,92.5317,76.9561,-15.5755
Sc3CdC,12.6379,12.3054,-0.3325
CSeIN2,40.7421,33.2648,-7.4772
BePb4Au,43.6765,44.1504,0.4739
Hf2CoOs,74.5387,59.4424,-15.0963
MnNi4Ag,42.9506,37.4706,-5.48
CaPr4Nd,-0.0,1.3709,1.3709
AcTlBO3,13.307,14.7597,1.4527
InRu,12.2043,19.172,6.9677
Re2Sb,42.5785,42.4441,-0.1344
Tl2Zn,35.1453,36.0728,0.9275
AlReSi3,27.2741,21.8212,-5.4529
Pm2Co3P4Ru,24.1643,18.4391,-5.7252
Re3Sb,41.8257,43.2575,1.4317
LiLaTi2,11.0593,10.3491,-0.7102
Al2ReSi,25.1985,23.6013,-1.5972
GaGeP,13.781,11.8065,-1.9745
SmNbCo10,18.9984,18.8178,-0.1806
RePbS2N,91.8952,77.542,-14.3531
PrYPd2,19.1764,17.8417,-1.3346
HfBeAl2,43.6119,33.0165,-10.5954
Al2ReSi,25.4153,23.6013,-1.814
Pr4TmCd2,3.6279,6.5967,2.9687
TlAg2(BO3)2,148.8747,132.0246,-16.8501
AlReSi,33.3507,31.3061,-2.0446
SrWI2,29.8885,23.5134,-6.3751
AlReSi2,28.3794,25.6627,-2.7167
Ta2Tl2Os,45.2962,47.1493,1.8531
NaHf(TlSe2)2,57.0088,46.5525,-10.4563
CaPr4Os,0.788,3.5824,2.7944
ScRe2Au,47.1145,42.9259,-4.1887
Sr3(PuIr2)2,45.4213,41.5479,-3.8735
NaSeI2,27.2258,24.2928,-2.933
Sc3Tc,57.4715,48.3675,-9.1039
CaEuPb4,40.262,41.3498,1.0879
Sr3(Ac2Os)2,42.5079,44.0025,1.4947
PrYSc3,0.0,2.9592,2.9592
KCr2Br,24.8103,20.8386,-3.9716
SrCa7FeCo7O24,20.5412,16.3405,-4.2006
MnNiMo4,45.2628,42.2682,-2.9946
BeHg2As,6.7525,4.7629,-1.9896
BaB2Se,9.3904,9.3335,-0.0569
Ca2Tl2ReO6,35.1582,32.5191,-2.6391
LaPrSn2,21.3874,19.5111,-1.8763
ReNF3,65.3468,57.241,-8.1058
TlTe2SeI,42.0164,39.0755,-2.9409
Er3TmRu4,22.5267,25.3429,2.8162
CaTb4Pr,14.191,17.631,3.4399
Be(HgAs)2,4.4659,3.6707,-0.7953
Tm6Pd2Ru3Au,25.5153,27.986,2.4708
AcPr7Y2,8.6114,8.5259,-0.0856
BeInTc4,65.9762,55.4038,-10.5724
Ca(CoO2)2,0.0,0.0,0.0
AcTb2RhO8,12.3115,12.9049,0.5934
BMo3Ir,24.9847,22.0724,-2.9123
Ca2ZrMo,31.4201,28.8688,-2.5514
Zr2MoHPt,59.8043,48.8516,-10.9527
MgAs5,10.6495,9.869,-0.7805
CaTcO3,37.7796,32.0718,-5.7078
CaZrMo,39.8987,37.0506,-2.8481
Mn21(ReN3)2,92.2407,71.8457,-20.395
Mn21(TcN3)2,78.4876,59.6432,-18.8445
Ca2ZrMo,31.5979,28.8688,-2.7292
MgTc5,77.9922,64.7642,-13.228
Mn3SiTe,72.2461,55.3194,-16.9268
Si2Te3,27.4753,25.1035,-2.3718
CaCrFe2,30.5784,22.9833,-7.5952
Mn21(WN3)2,74.7205,57.3956,-17.3248
Mn2SiTe,58.0123,44.9842,-13.0282
TbNd2(URu2)3,31.2315,33.6606,2.4291
Mn21(PN3)2,76.6894,57.9121,-18.7774
ZrSc2Ag,29.3578,27.1053,-2.2525
MnTlNi4,46.2342,41.8025,-4.4317
Li3CaO,18.5296,16.352,-2.1775
TlPt,70.2858,58.3268,-11.959
TcNiAs3,34.2423,27.934,-6.3083
NaSr2AgPt,34.2306,26.2945,-7.9361
TcHg3,21.7108,18.1902,-3.5206
PmAl(InS3)2,35.0055,27.2271,-7.7784
PrAl(InS3)2,32.5944,24.2423,-8.3521
YTcN3,40.3606,34.5831,-5.7775
AlIn2PbS6,38.8037,30.7201,-8.0836
Zn2CrTc,30.7738,25.9988,-4.7749
SrMo2Au,23.991,26.0033,2.0123
NaLi2LaRh,25.2385,17.7989,-7.4395
CaPtO,53.9492,44.1489,-9.8004
YPuCo10,18.5804,18.7839,0.2034
ZrB3Mo,25.0535,23.1515,-1.902
PuNi5Ge3,13.3714,12.318,-1.0535
Ni2PO5,0.0,0.0,0.0
Ta2SiOs,32.2746,36.251,3.9764
NiTe2,26.5203,28.3045,1.7841
CaPt2O,62.6252,47.2732,-15.352
ReNiIr2,52.835,44.7024,-8.1326
Re(NiIr)2,35.3616,31.4767,-3.8849
Hf2Al,97.0222,69.8156,-27.2066
KY3(AsO3)4,14.8911,14.8667,-0.0244
MnNi4Os,44.7505,41.4068,-3.3438
CaCr3Fe,25.4964,17.3055,-8.1909
TaSi2Os,26.8805,27.4696,0.5891
NaHoSn,16.8902,19.0823,2.1921
MgTa4As,28.6226,29.4981,0.8755
Sc2TaW,75.5619,65.5561,-10.0057
AlTc4Br,65.8965,54.2403,-11.6562
Re2NiAg,49.1672,37.9156,-11.2516
TeOs2Pd,36.5722,39.2354,2.6632
HfTl2HgSe4,54.0913,44.3633,-9.728
HfZrCo10,25.1574,22.0157,-3.1416
CaPaO4,16.066,18.3013,2.2353
B3MoAu,15.0067,16.3876,1.3809
TaAs2Os,24.8432,28.9492,4.1061
BMoPd3,17.0701,16.2624,-0.8077
CaSmO,38.0073,35.3465,-2.6607
ScTaW2,83.8116,75.4905,-8.3211
Rb2HfAuSe4,42.9089,34.717,-8.1919
ZnTePb2,38.8232,39.3025,0.4793
CaSm4Tm,22.6771,25.1753,2.4982
Ca2WN2,14.4322,9.2661,-5.1661
Zn4Pb3,27.166,27.8861,0.7201
Fe3AgI,12.5751,11.7114,-0.8637
Ta4CrMo,45.9429,40.647,-5.2959
Ta2GeOs,31.2139,36.2675,5.0535
Ta2InOs2,25.8089,33.1972,7.3884
Te2AsPb,36.7175,36.2323,-0.4853
La2AlNi9,13.1358,11.8398,-1.296
CaNiMo4,24.2448,23.8007,-0.4441
Y(AgI2)3,14.9994,13.483,-1.5164
CrGe2(PbO3)3,12.4487,13.0192,0.5706
Ti3Al3Rh2,16.247,12.9871,-3.2599
CoRuPt4,63.8324,46.8257,-17.0067
Y(AgI2)3,15.031,13.483,-1.548
Zn2TePb,27.6323,27.8117,0.1794
SmPbO2,18.3887,20.8843,2.4956
NdTl2Sb,42.3519,41.2072,-1.1447
La2Pr7Y3,11.1403,8.6697,-2.4707
CaSmPb4,39.8154,41.2946,1.4791
Zn2PPb,18.1024,19.4313,1.3289
ScWBr3,18.4996,16.8673,-1.6323
Ba3(Sr2Ac)2,20.4102,21.9821,1.5719
AcPm6Nd2Y3,25.3672,26.935,1.5678
TaTi5Os4,22.3306,26.8311,4.5004
NaPuSiO5,3.6033,5.7936,2.1903
CaLaSn4,18.3831,17.6051,-0.778
Te2AsP,33.3562,31.5529,-1.8033
CaPmSn4,14.0205,16.4947,2.4742
V2CdO10,15.0279,11.9312,-3.0967
Tm2TaRu3,23.9211,28.1262,4.2051
RbTaOsRh2,36.8895,31.4325,-5.457
As2PPb,28.2948,26.3279,-1.9668
ZnPPb,21.7765,23.068,1.2915
Rb3H3Rh,4.9424,2.8712,-2.0712
Sr2Tl4Cd3,34.0046,32.718,-1.2865
TePPb,33.3294,33.5084,0.179
Th5NiSb3,46.8007,45.592,-1.2088
Cs3LaSi3(HO5)2,-0.0,-0.0,0.0
Sr3(Tl2In)2,31.1377,32.2122,1.0745
Ta4CoRu,42.8576,38.7456,-4.112
CaSnHg4,4.1571,4.6156,0.4585
Ta4Os3Pt2,49.7989,47.3357,-2.4632
Pm2BeRu,29.6495,26.5016,-3.148
TiInRu,13.3663,16.7691,3.4028
Sr4CaIn,14.1403,14.5241,0.3838
TaNb5H4,74.3387,63.3657,-10.9731
Tb2Ho3Th4,44.7356,47.7995,3.0639
TaAg2Os,35.5292,34.624,-0.9052
LiMn2Al,53.7255,40.957,-12.7685
BaMn6O12,81.1131,70.2253,-10.8877
Pm2H4Cl,6.8704,9.6792,2.8088
RbZnFe3,4.8208,4.1397,-0.6812
Zn3CrP,26.4973,21.9137,-4.5836
Sm2HSe2,22.4067,24.4651,2.0584
InOs2I,32.8736,35.2582,2.3846
YTcSeN2,60.4066,49.4684,-10.9382
InW,22.6705,29.5335,6.863
CaCrFe2,30.8028,22.9833,-7.8195
ScIrRu2,28.4062,24.0223,-4.3839
Ta3NiIr,32.8125,36.1936,3.3811
CaWN3,28.9511,17.6591,-11.292
Sb2WC,49.7705,40.0721,-9.6984
Pr(TmGe)2,9.2431,13.2567,4.0135
Sm3In3PdRu2,20.0222,22.0584,2.0362
InW3,34.3595,39.3025,4.943
CaMn3(BO3)4,45.8546,40.265,-5.5896
Re2PdW,34.0943,38.8978,4.8035
K2TlAg,26.6109,24.2751,-2.3358
Tb4AgSb,25.7637,25.5006,-0.2631
Tb2YTcN4,28.2579,25.6651,-2.5928
FeRe4Au,42.4949,42.0893,-0.4057
NaLa3Ti,41.9249,29.0807,-12.8442
LaZrCo10,17.5371,16.4452,-1.0919
Ba4Si2H,4.703,3.5784,-1.1246
ZrNbCo10,25.0764,23.396,-1.6804
Ba3ErIrRuO9,-0.0,1.1029,1.1029
Cs2SrCrF6,14.8385,12.8096,-2.029
TaNiIr3,36.4553,38.3368,1.8815
NaLa3Mn,57.0078,43.9686,-13.0393
BaLaZnRuO6,20.5606,17.3497,-3.211
SrY2Be,16.6092,12.9998,-3.6095
Cs2CrMoF6,15.1836,13.2443,-1.9393
P5Os,10.2022,12.3454,2.1432
ZrNpCo10,19.0675,19.817,0.7495
Sc(MnAs)2,47.9016,35.3776,-12.524
P3Os,13.5311,16.5629,3.0317
Pr2Ge2Ru,20.4293,19.7753,-0.654
La2NiBi,40.6562,33.965,-6.6912
P2Os,16.383,19.6766,3.2935
POsO3,16.7245,14.8564,-1.8682
Pm3VN5,13.45,13.3338,-0.1162
NaSrPtPb,44.6595,37.929,-6.7305
PrZrCo10,12.835,13.3491,0.514
Tc2Ru4Pt3,57.5774,46.329,-11.2484
Tc2Ir3Os4,43.2401,44.7142,1.4741
Tc2Ru3Rh4,53.7928,40.971,-12.8218
Cs2KCrOF5,13.2887,11.9639,-1.3248
Li2CaFe,15.9697,13.714,-2.2557
Pr2Y(IN)2,23.9794,21.4666,-2.5128
SmTmCo10,9.6482,11.8552,2.2069
CSe2S,50.6044,37.1695,-13.4348
Ta3Ru2Au3,35.3847,38.5411,3.1565
AcPaCu10,16.5727,18.0228,1.45
CaTb2TmSe4,43.8861,37.513,-6.3731
Zn(H2Rh)2,10.9892,8.0889,-2.9003
AcPr(YP2)2,25.0584,21.6369,-3.4216
HgRh2W,33.9727,29.3465,-4.6262
TlOs2Pb,47.8783,50.526,2.6478
La2BeFe,35.2997,23.8942,-11.4054
CsPmPt10,78.3579,55.2747,-23.0832
LaBeFe2,22.582,15.6147,-6.9673
BeNiAg2,18.0996,15.0907,-3.0089
Tm(SnRu)6,19.2276,21.3529,2.1253
NaNdMg2,13.6582,13.5071,-0.1511
La2BeFe,35.2695,23.8942,-11.3752
Pr3YP4,7.1263,6.738,-0.3884
Cs2TlFeF6,13.2483,14.6259,1.3776
CsAcAu10,46.5119,47.4333,0.9214
