Formula,E_hull_DFT (eV/atom),E_hull_ML (eV/atom),Delta (ML - DFT)
YPbCl2,53.0416,55.208,2.1664
CsCrCu2F8,11.4858,10.2877,-1.1981
LiCa4Ag,9.1107,8.8475,-0.2632
Ta3NbI,57.1125,53.3433,-3.7692
SiCN,18.9355,15.6405,-3.2949
PrYGa2,8.5706,9.2724,0.7018
As(PPb)2,27.4872,26.503,-0.9842
Sc2CrF8,9.8699,7.3539,-2.516
Ta2OsRh,32.4423,34.914,2.4717
NaTl(CuS)2,33.2829,27.8591,-5.4239
TaTeOsI2,34.8496,34.6987,-0.1509
CrNiO2F,13.7732,12.7587,-1.0145
AcInAs2,25.588,27.5055,1.9175
SnSbBr2,30.0645,28.3399,-1.7246
Ta2Be,19.323,26.7509,7.4279
Pr5YTl2,13.2243,13.8236,0.5993
K3TePd,19.015,17.9017,-1.1133
MoAs2Ru,21.2681,17.4057,-3.8624
Na4Pd3,21.5772,19.5351,-2.0421
PrY2Ta,34.209,30.0496,-4.1594
PrYLu2,19.8398,22.5856,2.7458
UPdRh,36.6302,36.8836,0.2534
Na2LiCrF6,12.7907,10.7908,-1.9999
PrY2Zr,31.159,28.1885,-2.9705
Ba4SiIr,10.6936,10.7559,0.0623
Pr12Tl6Rh,15.3936,15.916,0.5225
Mg2Bi3H2,27.3561,26.8237,-0.5324
RbRu,35.531,32.5859,-2.9451
Rb3RuN,30.5762,25.3541,-5.2221
Pr12Cu6Ir,3.2179,3.0832,-0.1347
HfCdSeN2,43.9484,34.1657,-9.7826
CaScCu10,12.2205,11.1144,-1.1061
KY2Ir,21.0441,23.2314,2.1872
Tl2CrCuF6,14.6259,13.0064,-1.6196
YSiTc2Pt,90.7248,71.9313,-18.7935
La3Eu,45.8733,33.0659,-12.8073
HfSeN2F,40.9532,30.5414,-10.4117
NaPr2Y,8.9291,8.4222,-0.5069
Li2MnCrF8,18.5732,15.4741,-3.0992
NaSm5Sn3,18.3041,20.5359,2.2318
LiPu2ThTe4,46.3128,46.1856,-0.1273
LaWI2,34.6587,31.3397,-3.3189
PRuW,95.692,81.7394,-13.9527
SrCo5H12,2.4315,3.164,0.7326
FeAg2P,33.5014,28.1017,-5.3996
PRu2W,76.1864,64.7984,-11.388
Tb2TcNi,38.6415,37.9519,-0.6897
CoMoRh,23.5708,22.3909,-1.1799
Pm4Er15Tm,28.5353,30.1634,1.628
RbZr(TeO4)2,15.7571,12.9404,-2.8167
SrBe2CrF8,9.9091,7.7923,-2.1167
TiCu2H8Rh3,15.6909,12.1434,-3.5475
SrCrNF2,17.0643,14.0869,-2.9774
Mn2Be4I,38.6922,33.7701,-4.9221
BaAlIr4,35.867,36.4911,0.6241
SrCr2CoF8,12.7898,9.9736,-2.8162
Zr2Sc2As,46.1688,35.6347,-10.5341
TeWSe,35.8072,38.0011,2.1939
PrYIr2,24.2376,27.6189,3.3813
CrSbO2F,23.7585,20.9467,-2.8119
Cu2C,20.5789,19.097,-1.4819
Zn2CrAg,15.4696,12.9713,-2.4982
KYPb,21.9613,24.3521,2.3908
As2RuPt,36.5213,26.7857,-9.7356
CrBi2RuF,31.2818,30.1153,-1.1665
Sc2NiAs,19.506,15.3366,-4.1694
BaCaAc4,43.8965,46.0002,2.1037
RuWO2,28.1494,24.738,-3.4114
K2NpTe4Au,38.2192,37.8056,-0.4135
ZnCrBiF6,11.8089,10.7734,-1.0356
NaTb5Hg3,14.0857,15.7224,1.6367
Sr4BeAs,17.8809,13.773,-4.1078
BaLiCa4,4.9024,5.3771,0.4747
Co3MoRh,18.1705,16.5624,-1.6081
Na3Tl5Ag,39.849,38.0154,-1.8336
Pm2PrY2Tm,12.6202,16.779,4.1588
ScWBr,20.2602,21.2742,1.0141
FeOs2C,46.4646,40.3272,-6.1375
FeRe4Ir,41.7178,42.5649,0.847
NaSm5In3,18.9343,21.06,2.1257
CaLaZn10,11.3321,10.0401,-1.292
K3Nd(YTe3)2,27.0186,26.2066,-0.812
FeSnC2,37.3706,28.7988,-8.5718
FeSnN,12.4967,13.2005,0.7038
CsCd10In,19.6931,20.1778,0.4847
Ac2TlReO8,22.9301,24.4352,1.5051
CaHfI2,44.9092,35.2737,-9.6355
PmPr2(YAs2)3,9.6231,10.6529,1.0298
Cd10InPb,22.1122,22.63,0.5178
Tb3(SmSn2)2,17.7171,20.7242,3.0072
BeFeAg2,25.2543,18.8065,-6.4477
SrCa3(SeO3)4,23.5764,20.4951,-3.0813
AlSiN5,1.3348,3.233,1.8982
Mn2IrN,43.1364,41.0064,-2.13
SiRh,24.9422,23.2549,-1.6873
Ta2CrOs,56.6308,51.7575,-4.8733
Cs3Rb5Na,11.8891,10.9244,-0.9647
CaTcMo4,26.9012,27.4028,0.5016
Rb3PrY2O6,15.5985,13.0401,-2.5584
Ho2Hf(SeN)2,40.9744,33.8477,-7.1267
Al3Tc,0.0,1.6355,1.6355
CaBeIrO5,9.3035,10.85,1.5466
LiRhPb2,34.65,34.5503,-0.0997
Sc2CdPdC,24.4596,19.8498,-4.6098
AlTc3,71.6108,62.4182,-9.1925
CaHgBr4,4.5863,6.6207,2.0344
La5TbPrY2,29.8983,20.6935,-9.2049
Re4TcNi,56.4617,49.4744,-6.9873
CaNdBr4,10.9374,11.8592,0.9218
RbNaCdTe2,25.1901,23.1912,-1.9989
TbPr2Y5Th,12.1743,14.4732,2.2989
Ca2TaOs,22.8399,26.2085,3.3687
CePrCo10,9.0438,9.9929,0.9491
Ni2AgAs2,23.3298,18.6648,-4.665
Nd3HfPb5,47.8109,45.7804,-2.0306
SrTi4(PO4)6,6.9069,6.6107,-0.2962
CrSe4Cl,38.5283,30.926,-7.6022
PrNd15Er4,24.1332,25.7324,1.5992
Ca2SbO,36.5573,30.1614,-6.3959
CaCu2W,17.136,17.5227,0.3867
NaSi2AgSe,27.3129,20.2072,-7.1057
CaCu2W,16.613,17.5227,0.9097
Sc2CdTcC,67.074,55.3046,-11.7694
LaFeW2,36.4201,31.9775,-4.4426
MnCoBr,41.3857,33.8171,-7.5686
CaScOF2,53.7612,47.0354,-6.7257
HfSeIN2,46.2496,34.5973,-11.6523
CrAgRh,29.9844,23.7019,-6.2826
SrVSi3,40.14,27.7262,-12.4138
CoRe2Rh,34.2817,34.6532,0.3715
Cr2Co2Os,6.5517,9.9195,3.3678
CoReRh3,40.1338,32.0323,-8.1015
SrCa2PdO,26.1216,22.5539,-3.5678
CaZr2PbO,67.8241,56.2947,-11.5295
AlBi2F,40.5415,37.8107,-2.7307
Tl4CuTc,51.5535,49.8637,-1.6898
TcNiRu4,27.8631,28.4421,0.579
CoRu4Pb,22.7721,24.0111,1.2389
LiLa2Fe,43.0261,31.0953,-11.9307
YGe2Au,16.8332,18.3625,1.5293
LaPr4Y3S8,31.7708,22.9627,-8.8081
La4ScPb,44.2408,32.6645,-11.5763
Sc2CdRe,41.3574,36.4177,-4.9397
CaCeRu,15.3373,17.927,2.5897
ErTm4Sc15,11.4539,12.7849,1.331
CaAcCu4,17.2307,17.7493,0.5186
Pm2ZrSc,39.8443,35.2405,-4.6037
Na2IrPdBr,25.0516,23.5245,-1.527
Cs2HfGa2,40.2304,33.0067,-7.2237
GePt,21.566,16.9325,-4.6335
Na2LaInBr6,17.4762,15.9059,-1.5703
V2BMo2,49.0822,41.0674,-8.0147
SrCaGe4,0.0,-0.0,-0.0
PrY2Cu3,24.604,20.6481,-3.9558
Ta2As,18.1108,27.8453,9.7345
Ti4Sn2Au3,35.7323,27.6033,-8.129
PmNd5Tm3,22.5376,25.9404,3.4029
Tb3Nd5Sm,21.1679,24.1972,3.0293
Er3NiSn3,19.9008,21.823,1.9222
CeSmY,21.3293,24.6915,3.3622
Zn2CrAu,19.4732,19.3147,-0.1586
KCa9Mn(PO4)7,21.6568,16.6077,-5.0491
Pr15Er4Sc,2.63,4.0739,1.4439
Nd5Sm3Ho,20.973,24.5287,3.5557
Nd5SmHo3,21.7651,24.67,2.9049
H4PbI3N,2.4392,5.1647,2.7255
Co2(Ni7B2)3,9.9992,9.7557,-0.2435
CoOs2Ru,26.62,32.1043,5.4843
Hf4Os3Ru,88.813,70.0115,-18.8015
Ta2OsPb,42.2823,45.8603,3.578
CaAcGa4,16.6545,18.5087,1.8542
CaDyGa4,10.462,12.2242,1.7622
NiPb3Au,43.0859,44.0341,0.9482
CaRuO2F,27.6013,22.6536,-4.9477
InRe2P,46.6775,42.1484,-4.5291
NiPbAu2,38.5759,41.7871,3.2112
NaCoIr2,24.3234,28.9927,4.6694
Ca2Zn(IO)2,32.6773,29.201,-3.4764
Ni2RhAu,27.3302,25.7945,-1.5357
Cu4RuCl,9.381,10.2904,0.9093
FeMo,18.0531,14.6245,-3.4286
Al2BiF,31.3302,28.6108,-2.7195
Na4SiSe4,29.3698,22.4786,-6.8912
NaPbI2,30.3728,30.1552,-0.2177
Sc4GaPd,11.2171,10.9304,-0.2867
TlIr2,46.5122,49.7797,3.2675
Pr3Nd2Y,4.62,7.3984,2.7784
NdYHo2,23.801,27.0455,3.2446
PuBi2Pb,58.4239,60.4291,2.0052
Pm5NdIr3,23.8623,29.5612,5.6989
SrMnRu4,30.0627,29.244,-0.8187
Th2Zn4Ga3Au,23.0793,24.4935,1.4142
AcPrGd,29.724,32.9645,3.2405
SiPt,33.1934,22.1492,-11.0442
CaTbIn4,18.1152,20.0217,1.9064
AgC,14.7851,9.5529,-5.2322
Pr3Nd4YTe8,26.3583,25.6674,-0.691
ScIn3Br,18.5184,16.5322,-1.9863
K(YGe)2,15.078,12.817,-2.261
SrNbBr2,46.3157,40.26,-6.0557
TaSbTe2Os,43.007,40.2371,-2.7699
Nb3BiBr,99.1957,82.841,-16.3547
BePbAu4,40.6162,42.3513,1.7351
AcPrGd,29.7761,32.9645,3.1884
CuIrPt2,51.8031,40.9463,-10.8569
CaMn2Cu3(RuO6)2,37.5639,33.9279,-3.636
Ca2ZnFe(SiO3)4,17.0413,13.8681,-3.1732
NaPr2(YTe2)3,24.9156,23.3708,-1.5448
Sm3Au,30.405,33.361,2.956
Sc2BIr,14.2846,15.2897,1.0052
Sm2Au,31.9476,35.145,3.1974
Ba3SmRu2O9,0.0,0.0,0.0
Ti4V2Pd3,36.5245,32.1634,-4.3611
AgOsI2,31.0073,30.0095,-0.9978
TbY2PuN4,42.1492,37.949,-4.2002
ScIn2Br,13.8987,14.2632,0.3645
Tb2YHfN4,38.7823,32.7351,-6.0472
CrCoOs2,25.1628,28.8156,3.6528
BaRh(PbO4)2,12.6352,12.9701,0.3349
LiCa4Ni,7.3169,6.5954,-0.7215
AlAg2P,33.6244,27.6696,-5.9547
CsAc(BiAu)2,48.1296,49.6869,1.5573
Sr3(TlAu2)2,36.2106,37.4932,1.2826
Er4Tm15Sc,29.1436,30.4393,1.2957
TaCuSi2,13.0604,14.8109,1.7505
Mo2PIr,31.1526,26.9938,-4.1589
TcPBr4,25.2365,23.1332,-2.1033
TaCu3Si,18.3239,16.0984,-2.2255
MoPIr3,38.146,36.2409,-1.9051
Ca2TaVO6,29.7054,25.8199,-3.8855
CaSb3P3O13,18.6831,14.5929,-4.0902
LiAl2I,13.0347,10.2572,-2.7775
SrCaNi4,9.6281,7.5972,-2.0309
Mo2PIr,30.9992,26.9938,-4.0054
La2Ti4Nb,38.5581,31.4143,-7.1438
CuIr4Cl,32.4067,34.106,1.6993
CaYW2,28.2914,26.4235,-1.8679
TbY3N4,48.5203,39.7998,-8.7205
ZnGa2P,15.3642,13.9623,-1.4019
Ni21(B3Mo)2,10.5034,10.5329,0.0296
Sr(ZrIn)2,44.8323,39.1301,-5.7022
HoNpCo10,13.2286,15.7061,2.4775
ZnTcPb3,52.0753,49.9245,-2.1509
CaGaTeO5,20.2524,17.7248,-2.5276
CaNpGaO5,19.9045,20.6524,0.7479
Ho3Tm(ThRu3)2,28.2572,30.8741,2.6169
Ca2Nd4Sn3O2,31.4517,28.4339,-3.0179
CaRhOF2,30.6773,23.9752,-6.7021
TaSb2Os,42.4968,39.9663,-2.5305
TcIr2,51.4834,53.6431,2.1597
CaPaPtO5,22.064,20.8807,-1.1833
TlCuAgH2,21.9953,20.3534,-1.6419
Pm4Pb2Au,35.6764,37.6573,1.9809
Na4BeI2,25.9162,23.839,-2.0772
SrRuF2,8.3749,9.0012,0.6262
Ca12Sn4PbO3,22.9731,20.7253,-2.2478
LaNpCo10,15.2228,15.9181,0.6952
CaNb2Tl2O7,38.2107,33.6679,-4.5429
CaAlSeO5,10.651,10.0631,-0.5879
TaOs2Pb,43.738,47.4086,3.6706
TcNiIr,47.9838,47.8085,-0.1753
Sc(TcAs)2,64.3801,55.961,-8.4191
TaOs2Pt,52.26,48.9247,-3.3353
BeTcAs2,32.1599,27.3987,-4.7613
BaMgMn,36.9085,28.6786,-8.2299
K2ReAg,24.9702,23.1705,-1.7997
Be2TcAs,30.2733,25.9245,-4.3488
TePI2O,34.8323,28.8518,-5.9805
RbLi3C,14.9331,10.4906,-4.4425
BeTcAs,39.7022,34.7303,-4.9718
BiSbRu3,30.8867,30.472,-0.4147
RbLi,0.0,0.0,0.0
TbHoAl,19.143,21.866,2.723
CaLa2BeO5,9.9278,10.2055,0.2777
CaGd2BeO5,0.0,0.0,0.0
BaRh(IO4)2,19.4183,16.0504,-3.3678
IrPbBr2,37.8909,35.4419,-2.449
TmNi5As3,16.63,14.3704,-2.2596
BeTc2As,52.9292,45.698,-7.2312
BaAl2Te,21.37,18.4637,-2.9063
BeTc2As,52.7497,45.698,-7.0518
CaUCuO5,11.5548,14.6147,3.0599
CaCuIrO5,11.1433,12.5619,1.4186
Er15ThSc4,26.3818,27.851,1.4692
Al2TlV2,57.6061,48.3731,-9.233
CaCr2Fe,27.2943,18.9873,-8.307
Ca2TbPdO6,27.2487,24.6765,-2.5722
In5Ru,19.3061,21.7208,2.4147
Y2TcN,92.5317,78.475,-14.0567
Sc3CdC,12.6379,12.0551,-0.5828
CSeIN2,40.7421,33.1975,-7.5446
BePb4Au,43.6765,44.426,0.7495
Hf2CoOs,74.5387,60.2331,-14.3056
MnNi4Ag,42.9506,38.9751,-3.9755
CaPr4Nd,-0.0,1.4553,1.4553
AcTlBO3,13.307,15.6836,2.3766
InRu,12.2043,19.5202,7.3159
Re2Sb,42.5785,42.0878,-0.4907
Tl2Zn,35.1453,36.1547,1.0094
AlReSi3,27.2741,22.2003,-5.0738
Pm2Co3P4Ru,24.1643,19.0956,-5.0687
Re3Sb,41.8257,42.6989,0.8732
LiLaTi2,11.0593,9.7938,-1.2655
Al2ReSi,25.1985,24.299,-0.8995
GaGeP,13.781,12.2433,-1.5377
SmNbCo10,18.9984,18.9151,-0.0833
RePbS2N,91.8952,81.4526,-10.4426
PrYPd2,19.1764,18.4209,-0.7555
HfBeAl2,43.6119,34.0257,-9.5862
Al2ReSi,25.4153,24.299,-1.1163
Pr4TmCd2,3.6279,6.4586,2.8307
TlAg2(BO3)2,148.8747,131.8861,-16.9886
AlReSi,33.3507,32.3226,-1.0281
SrWI2,29.8885,23.0635,-6.825
AlReSi2,28.3794,26.2739,-2.1055
Ta2Tl2Os,45.2962,47.1723,1.8761
NaHf(TlSe2)2,57.0088,46.4195,-10.5893
CaPr4Os,0.788,3.8426,3.0547
ScRe2Au,47.1145,43.6964,-3.4181
Sr3(PuIr2)2,45.4213,41.6953,-3.7261
NaSeI2,27.2258,24.4318,-2.794
Sc3Tc,57.4715,50.3127,-7.1588
CaEuPb4,40.262,41.5502,1.2882
Sr3(Ac2Os)2,42.5079,44.7577,2.2498
PrYSc3,0.0,2.9914,2.9914
KCr2Br,24.8103,21.8423,-2.9679
SrCa7FeCo7O24,20.5412,16.1324,-4.4088
MnNiMo4,45.2628,42.72,-2.5429
BeHg2As,6.7525,4.9311,-1.8214
BaB2Se,9.3904,9.5718,0.1815
Ca2Tl2ReO6,35.1582,32.4032,-2.755
LaPrSn2,21.3874,19.3414,-2.046
ReNF3,65.3468,59.2269,-6.1199
TlTe2SeI,42.0164,38.4703,-3.5461
Er3TmRu4,22.5267,25.1078,2.5811
CaTb4Pr,14.191,18.0649,3.8739
Be(HgAs)2,4.4659,3.7318,-0.7341
Tm6Pd2Ru3Au,25.5153,27.9361,2.4209
AcPr7Y2,8.6114,8.5641,-0.0473
BeInTc4,65.9762,57.2449,-8.7313
Ca(CoO2)2,0.0,0.0,0.0
AcTb2RhO8,12.3115,13.1317,0.8202
BMo3Ir,24.9847,21.3973,-3.5873
Ca2ZrMo,31.4201,27.9739,-3.4462
Zr2MoHPt,59.8043,46.5649,-13.2394
MgAs5,10.6495,9.8538,-0.7957
CaTcO3,37.7796,32.2547,-5.5249
CaZrMo,39.8987,35.9667,-3.932
Mn21(ReN3)2,92.2407,76.2167,-16.0241
Mn21(TcN3)2,78.4876,63.0617,-15.4259
Ca2ZrMo,31.5979,27.9739,-3.6241
MgTc5,77.9922,67.0686,-10.9235
Mn3SiTe,72.2461,57.8285,-14.4176
Si2Te3,27.4753,24.484,-2.9913
CaCrFe2,30.5784,22.0371,-8.5413
Mn21(WN3)2,74.7205,60.6242,-14.0963
Mn2SiTe,58.0123,47.308,-10.7044
TbNd2(URu2)3,31.2315,33.4345,2.203
Mn21(PN3)2,76.6894,61.0475,-15.6419
ZrSc2Ag,29.3578,26.7228,-2.6351
MnTlNi4,46.2342,43.0432,-3.191
Li3CaO,18.5296,15.6322,-2.8973
TlPt,70.2858,57.784,-12.5018
TcNiAs3,34.2423,29.115,-5.1273
NaSr2AgPt,34.2306,26.1879,-8.0427
TcHg3,21.7108,18.9932,-2.7177
PmAl(InS3)2,35.0055,27.075,-7.9306
PrAl(InS3)2,32.5944,24.0057,-8.5887
YTcN3,40.3606,36.0267,-4.3339
AlIn2PbS6,38.8037,30.5567,-8.247
Zn2CrTc,30.7738,27.0284,-3.7454
SrMo2Au,23.991,26.0262,2.0352
NaLi2LaRh,25.2385,17.8091,-7.4294
CaPtO,53.9492,42.3814,-11.5678
YPuCo10,18.5804,19.0967,0.5162
ZrB3Mo,25.0535,22.072,-2.9815
PuNi5Ge3,13.3714,12.4529,-0.9185
Ni2PO5,0.0,0.0,0.0
Ta2SiOs,32.2746,36.1615,3.8869
NiTe2,26.5203,28.0669,1.5466
CaPt2O,62.6252,45.3156,-17.3096
ReNiIr2,52.835,45.72,-7.115
Re(NiIr)2,35.3616,32.0574,-3.3042
Hf2Al,97.0222,70.7136,-26.3086
KY3(AsO3)4,14.8911,14.5602,-0.3309
MnNi4Os,44.7505,42.4931,-2.2574
CaCr3Fe,25.4964,17.6656,-7.8309
TaSi2Os,26.8805,27.6303,0.7498
NaHoSn,16.8902,18.7628,1.8726
MgTa4As,28.6226,29.7001,1.0774
Sc2TaW,75.5619,66.7883,-8.7736
AlTc4Br,65.8965,55.9339,-9.9626
Re2NiAg,49.1672,38.8309,-10.3362
TeOs2Pd,36.5722,39.1018,2.5296
HfTl2HgSe4,54.0913,44.2122,-9.8791
HfZrCo10,25.1574,21.9608,-3.1966
CaPaO4,16.066,17.9004,1.8344
B3MoAu,15.0067,16.4297,1.4229
TaAs2Os,24.8432,28.9909,4.1478
BMoPd3,17.0701,16.3399,-0.7301
CaSmO,38.0073,34.3547,-3.6526
ScTaW2,83.8116,76.7676,-7.044
Rb2HfAuSe4,42.9089,34.4687,-8.4401
ZnTePb2,38.8232,39.0287,0.2055
CaSm4Tm,22.6771,25.2564,2.5793
Ca2WN2,14.4322,9.5614,-4.8708
Zn4Pb3,27.166,27.9113,0.7453
Fe3AgI,12.5751,11.951,-0.6241
Ta4CrMo,45.9429,41.4748,-4.4681
Ta2GeOs,31.2139,36.359,5.1451
Ta2InOs2,25.8089,32.4253,6.6164
Te2AsPb,36.7175,35.9782,-0.7393
La2AlNi9,13.1358,11.8253,-1.3104
CaNiMo4,24.2448,23.1395,-1.1054
Y(AgI2)3,14.9994,13.7099,-1.2895
CrGe2(PbO3)3,12.4487,12.9816,0.5329
Ti3Al3Rh2,16.247,12.8301,-3.4169
CoRuPt4,63.8324,45.4311,-18.4012
Y(AgI2)3,15.031,13.7099,-1.3211
Zn2TePb,27.6323,27.501,-0.1313
SmPbO2,18.3887,21.0278,2.6391
NdTl2Sb,42.3519,41.2668,-1.0851
La2Pr7Y3,11.1403,8.6186,-2.5218
CaSmPb4,39.8154,41.39,1.5746
Zn2PPb,18.1024,19.4265,1.3241
ScWBr3,18.4996,16.773,-1.7266
Ba3(Sr2Ac)2,20.4102,22.0217,1.6115
AcPm6Nd2Y3,25.3672,27.3219,1.9548
TaTi5Os4,22.3306,26.5804,4.2498
NaPuSiO5,3.6033,5.9957,2.3924
CaLaSn4,18.3831,17.4624,-0.9206
Te2AsP,33.3562,30.9734,-2.3829
CaPmSn4,14.0205,16.8039,2.7834
V2CdO10,15.0279,11.8662,-3.1617
Tm2TaRu3,23.9211,27.9998,4.0786
RbTaOsRh2,36.8895,31.2631,-5.6263
As2PPb,28.2948,26.2962,-1.9986
ZnPPb,21.7765,22.9344,1.158
Rb3H3Rh,4.9424,2.1287,-2.8137
Sr2Tl4Cd3,34.0046,32.7671,-1.2374
TePPb,33.3294,33.105,-0.2244
Th5NiSb3,46.8007,45.4151,-1.3856
Cs3LaSi3(HO5)2,-0.0,-0.0,0.0
Sr3(Tl2In)2,31.1377,32.369,1.2313
Ta4CoRu,42.8576,39.7452,-3.1124
CaSnHg4,4.1571,4.5179,0.3609
Ta4Os3Pt2,49.7989,46.31,-3.4889
Pm2BeRu,29.6495,26.3175,-3.332
TiInRu,13.3663,16.7579,3.3915
Sr4CaIn,14.1403,14.4587,0.3184
TaNb5H4,74.3387,62.682,-11.6568
Tb2Ho3Th4,44.7356,48.0113,3.2757
TaAg2Os,35.5292,35.4498,-0.0794
LiMn2Al,53.7255,43.759,-9.9665
BaMn6O12,81.1131,71.7535,-9.3595
Pm2H4Cl,6.8704,10.0411,3.1707
RbZnFe3,4.8208,4.2168,-0.6041
Zn3CrP,26.4973,22.2144,-4.2829
Sm2HSe2,22.4067,24.5341,2.1274
InOs2I,32.8736,35.3258,2.4522
YTcSeN2,60.4066,51.1383,-9.2683
InW,22.6705,29.5502,6.8797
CaCrFe2,30.8028,22.0371,-8.7657
ScIrRu2,28.4062,23.9282,-4.478
Ta3NiIr,32.8125,35.8529,3.0404
CaWN3,28.9511,17.9136,-11.0375
Sb2WC,49.7705,40.5311,-9.2394
Pr(TmGe)2,9.2431,13.203,3.9599
Sm3In3PdRu2,20.0222,21.9267,1.9046
InW3,34.3595,39.9032,5.5438
CaMn3(BO3)4,45.8546,40.772,-5.0826
Re2PdW,34.0943,38.6448,4.5504
K2TlAg,26.6109,24.599,-2.0118
Tb4AgSb,25.7637,26.3252,0.5614
Tb2YTcN4,28.2579,26.2634,-1.9945
FeRe4Au,42.4949,42.4735,-0.0215
NaLa3Ti,41.9249,29.2583,-12.6667
LaZrCo10,17.5371,16.2375,-1.2996
Ba4Si2H,4.703,3.5311,-1.1719
ZrNbCo10,25.0764,23.0989,-1.9774
Ba3ErIrRuO9,-0.0,1.0886,1.0886
Cs2SrCrF6,14.8385,12.7363,-2.1022
TaNiIr3,36.4553,38.3343,1.8789
NaLa3Mn,57.0078,42.7058,-14.302
BaLaZnRuO6,20.5606,17.3941,-3.1665
SrY2Be,16.6092,13.2899,-3.3194
Cs2CrMoF6,15.1836,13.0851,-2.0985
P5Os,10.2022,12.3966,2.1944
ZrNpCo10,19.0675,19.6148,0.5473
Sc(MnAs)2,47.9016,36.9527,-10.9489
P3Os,13.5311,16.5263,2.9951
Pr2Ge2Ru,20.4293,20.2317,-0.1976
La2NiBi,40.6562,33.6794,-6.9768
P2Os,16.383,19.551,3.1679
POsO3,16.7245,15.2605,-1.464
Pm3VN5,13.45,13.3836,-0.0664
NaSrPtPb,44.6595,37.5225,-7.1369
PrZrCo10,12.835,13.2405,0.4055
Tc2Ru4Pt3,57.5774,46.0665,-11.5109
Tc2Ir3Os4,43.2401,45.3803,2.1402
Tc2Ru3Rh4,53.7928,42.1832,-11.6097
Cs2KCrOF5,13.2887,11.8454,-1.4433
Li2CaFe,15.9697,13.5387,-2.431
Pr2Y(IN)2,23.9794,20.9019,-3.0775
SmTmCo10,9.6482,12.0677,2.4195
CSe2S,50.6044,37.2007,-13.4037
Ta3Ru2Au3,35.3847,38.0231,2.6384
AcPaCu10,16.5727,18.1068,1.5341
CaTb2TmSe4,43.8861,37.6281,-6.258
Zn(H2Rh)2,10.9892,7.5288,-3.4604
AcPr(YP2)2,25.0584,21.5046,-3.5538
HgRh2W,33.9727,29.5635,-4.4092
TlOs2Pb,47.8783,50.7657,2.8875
La2BeFe,35.2997,23.5336,-11.7661
CsPmPt10,78.3579,53.3479,-25.01
LaBeFe2,22.582,15.3383,-7.2437
BeNiAg2,18.0996,16.1079,-1.9917
Tm(SnRu)6,19.2276,21.0363,1.8087
NaNdMg2,13.6582,13.6246,-0.0336
La2BeFe,35.2695,23.5336,-11.7359
Pr3YP4,7.1263,6.5743,-0.552
Cs2TlFeF6,13.2483,13.4596,0.2113
CsAcAu10,46.5119,47.4824,0.9705
