Formula,E_hull_DFT (eV/atom),E_hull_ML (eV/atom),Delta (ML - DFT)
AgOsI2,31.0073,29.8374,-1.1699
TbY2PuN4,42.1492,39.0934,-3.0558
ScIn2Br,13.8987,14.061,0.1623
Tb2YHfN4,38.7823,33.0189,-5.7634
CrCoOs2,25.1628,28.674,3.5112
BaRh(PbO4)2,12.6352,12.7234,0.0883
LiCa4Ni,7.3169,6.5266,-0.7902
AlAg2P,33.6244,26.699,-6.9254
CsAc(BiAu)2,48.1296,49.5067,1.3772
Sr3(TlAu2)2,36.2106,37.3108,1.1002
Er4Tm15Sc,29.1436,30.4422,1.2986
TaCuSi2,13.0604,14.5125,1.4521
Mo2PIr,31.1526,26.3695,-4.7832
TcPBr4,25.2365,22.5842,-2.6523
TaCu3Si,18.3239,16.105,-2.2189
MoPIr3,38.146,35.7828,-2.3631
Ca2TaVO6,29.7054,26.1424,-3.5631
CaSb3P3O13,18.6831,14.7353,-3.9478
LiAl2I,13.0347,10.0695,-2.9652
SrCaNi4,9.6281,8.1002,-1.5279
Mo2PIr,30.9992,26.3695,-4.6298
La2Ti4Nb,38.5581,31.716,-6.8421
CuIr4Cl,32.4067,33.5601,1.1534
CaYW2,28.2914,25.6074,-2.684
TbY3N4,48.5203,41.9,-6.6204
ZnGa2P,15.3642,13.4907,-1.8735
Ni21(B3Mo)2,10.5034,10.8515,0.3481
Sr(ZrIn)2,44.8323,41.8748,-2.9575
HoNpCo10,13.2286,15.2719,2.0433
ZnTcPb3,52.0753,49.3396,-2.7357
CaGaTeO5,20.2524,17.9246,-2.3278
CaNpGaO5,19.9045,20.867,0.9624
Ho3Tm(ThRu3)2,28.2572,30.9866,2.7294
Ca2Nd4Sn3O2,31.4517,29.1571,-2.2946
CaRhOF2,30.6773,25.7575,-4.9199
TaSb2Os,42.4968,41.4974,-0.9994
TcIr2,51.4834,51.2846,-0.1988
CaPaPtO5,22.064,21.4234,-0.6406
TlCuAgH2,21.9953,19.7492,-2.2461
Pm4Pb2Au,35.6764,37.1619,1.4855
Na4BeI2,25.9162,23.2281,-2.688
SrRuF2,8.3749,8.3361,-0.0388
Ca12Sn4PbO3,22.9731,21.1623,-1.8108
LaNpCo10,15.2228,15.8309,0.6081
CaNb2Tl2O7,38.2107,33.254,-4.9567
CaAlSeO5,10.651,10.6552,0.0042
TaOs2Pb,43.738,47.4893,3.7512
TcNiIr,47.9838,45.9749,-2.0089
Sc(TcAs)2,64.3801,54.0245,-10.3556
TaOs2Pt,52.26,50.0016,-2.2584
BeTcAs2,32.1599,26.6349,-5.5251
BaMgMn,36.9085,28.7453,-8.1632
K2ReAg,24.9702,22.9745,-1.9957
Be2TcAs,30.2733,24.9166,-5.3567
TePI2O,34.8323,29.2284,-5.604
RbLi3C,14.9331,10.0473,-4.8858
BeTcAs,39.7022,33.4344,-6.2677
BiSbRu3,30.8867,31.0508,0.1641
RbLi,0.0,0.0,0.0
TbHoAl,19.143,22.0555,2.9125
CaLa2BeO5,9.9278,10.5277,0.5999
CaGd2BeO5,0.0,0.0,0.0
BaRh(IO4)2,19.4183,16.286,-3.1322
IrPbBr2,37.8909,36.3951,-1.4958
TmNi5As3,16.63,13.4469,-3.1831
BeTc2As,52.9292,43.9014,-9.0278
BaAl2Te,21.37,18.5007,-2.8693
BeTc2As,52.7497,43.9014,-8.8484
CaUCuO5,11.5548,15.0815,3.5267
CaCuIrO5,11.1433,12.9275,1.7842
Er15ThSc4,26.3818,27.7272,1.3453
Al2TlV2,57.6061,48.0432,-9.5629
CaCr2Fe,27.2943,20.2436,-7.0507
Ca2TbPdO6,27.2487,25.21,-2.0388
In5Ru,19.3061,21.4216,2.1155
Y2TcN,92.5317,78.1227,-14.4089
Sc3CdC,12.6379,12.0802,-0.5577
CSeIN2,40.7421,33.1804,-7.5617
BePb4Au,43.6765,44.1865,0.5101
Hf2CoOs,74.5387,59.419,-15.1197
MnNi4Ag,42.9506,38.7076,-4.243
CaPr4Nd,-0.0,0.7281,0.7281
AcTlBO3,13.307,14.6169,1.3099
InRu,12.2043,18.8408,6.6365
Re2Sb,42.5785,43.2185,0.64
Tl2Zn,35.1453,35.9416,0.7963
AlReSi3,27.2741,22.6526,-4.6215
Pm2Co3P4Ru,24.1643,19.3464,-4.8178
Re3Sb,41.8257,43.6831,1.8574
LiLaTi2,11.0593,9.7967,-1.2626
Al2ReSi,25.1985,24.3523,-0.8461
GaGeP,13.781,11.9655,-1.8156
SmNbCo10,18.9984,18.1524,-0.846
RePbS2N,91.8952,78.5794,-13.3157
PrYPd2,19.1764,18.322,-0.8543
HfBeAl2,43.6119,33.3053,-10.3066
Al2ReSi,25.4153,24.3523,-1.0629
Pr4TmCd2,3.6279,6.3366,2.7087
TlAg2(BO3)2,148.8747,132.3165,-16.5582
AlReSi,33.3507,32.406,-0.9447
SrWI2,29.8885,23.5951,-6.2934
AlReSi2,28.3794,26.4791,-1.9003
Ta2Tl2Os,45.2962,47.2422,1.946
NaHf(TlSe2)2,57.0088,45.6075,-11.4013
CaPr4Os,0.788,3.0104,2.2224
ScRe2Au,47.1145,43.5619,-3.5526
Sr3(PuIr2)2,45.4213,41.1504,-4.2709
NaSeI2,27.2258,23.7585,-3.4673
Sc3Tc,57.4715,48.7764,-8.6951
CaEuPb4,40.262,41.3034,1.0414
Sr3(Ac2Os)2,42.5079,43.9854,1.4775
PrYSc3,0.0,2.8669,2.8669
KCr2Br,24.8103,20.6391,-4.1711
SrCa7FeCo7O24,20.5412,16.6842,-3.857
MnNiMo4,45.2628,43.2359,-2.0269
BeHg2As,6.7525,4.9451,-1.8073
BaB2Se,9.3904,9.295,-0.0953
Ca2Tl2ReO6,35.1582,32.2816,-2.8766
LaPrSn2,21.3874,20.3959,-0.9915
ReNF3,65.3468,58.5667,-6.7801
TlTe2SeI,42.0164,38.697,-3.3194
Er3TmRu4,22.5267,25.3871,2.8605
CaTb4Pr,14.191,17.1896,2.9986
Be(HgAs)2,4.4659,3.744,-0.7219
Tm6Pd2Ru3Au,25.5153,28.0229,2.5076
AcPr7Y2,8.6114,8.474,-0.1374
BeInTc4,65.9762,55.1763,-10.7999
Ca(CoO2)2,0.0,0.0,0.0
AcTb2RhO8,12.3115,12.7652,0.4537
BMo3Ir,24.9847,21.9477,-3.037
Ca2ZrMo,31.4201,29.272,-2.1481
Zr2MoHPt,59.8043,49.8794,-9.9249
MgAs5,10.6495,10.0095,-0.6401
CaTcO3,37.7796,32.2553,-5.5243
CaZrMo,39.8987,37.5171,-2.3816
Mn21(ReN3)2,92.2407,74.8537,-17.3871
Mn21(TcN3)2,78.4876,62.2788,-16.2088
Ca2ZrMo,31.5979,29.272,-2.3259
MgTc5,77.9922,64.5572,-13.435
Mn3SiTe,72.2461,57.5783,-14.6678
Si2Te3,27.4753,24.3951,-3.0802
CaCrFe2,30.5784,23.5301,-7.0484
Mn21(WN3)2,74.7205,60.1075,-14.613
Mn2SiTe,58.0123,46.8056,-11.2068
TbNd2(URu2)3,31.2315,33.2615,2.03
Mn21(PN3)2,76.6894,60.2085,-16.481
ZrSc2Ag,29.3578,28.1665,-1.1913
MnTlNi4,46.2342,42.7911,-3.443
Li3CaO,18.5296,15.8688,-2.6607
TlPt,70.2858,59.3644,-10.9214
TcNiAs3,34.2423,27.7928,-6.4495
NaSr2AgPt,34.2306,27.2252,-7.0054
TcHg3,21.7108,18.0966,-3.6142
PmAl(InS3)2,35.0055,27.1561,-7.8495
PrAl(InS3)2,32.5944,24.1746,-8.4197
YTcN3,40.3606,34.3878,-5.9728
AlIn2PbS6,38.8037,30.7804,-8.0234
Zn2CrTc,30.7738,26.1026,-4.6711
SrMo2Au,23.991,26.067,2.0759
NaLi2LaRh,25.2385,18.8316,-6.4069
CaPtO,53.9492,44.4297,-9.5195
YPuCo10,18.5804,18.8358,0.2553
ZrB3Mo,25.0535,23.274,-1.7795
PuNi5Ge3,13.3714,12.5114,-0.86
Ni2PO5,0.0,0.0,0.0
Ta2SiOs,32.2746,36.1809,3.9063
NiTe2,26.5203,27.7606,1.2403
CaPt2O,62.6252,48.3047,-14.3205
ReNiIr2,52.835,44.6317,-8.2033
Re(NiIr)2,35.3616,31.405,-3.9566
Hf2Al,97.0222,69.5706,-27.4516
KY3(AsO3)4,14.8911,14.3673,-0.5238
MnNi4Os,44.7505,42.3019,-2.4486
CaCr3Fe,25.4964,18.1996,-7.2968
TaSi2Os,26.8805,27.7209,0.8405
NaHoSn,16.8902,19.1898,2.2996
MgTa4As,28.6226,29.9349,1.3123
Sc2TaW,75.5619,65.4273,-10.1346
AlTc4Br,65.8965,54.0501,-11.8464
Re2NiAg,49.1672,38.0571,-11.1101
TeOs2Pd,36.5722,38.9814,2.4091
HfTl2HgSe4,54.0913,43.3808,-10.7105
HfZrCo10,25.1574,21.8201,-3.3372
CaPaO4,16.066,16.9974,0.9314
B3MoAu,15.0067,16.5707,1.564
TaAs2Os,24.8432,28.8611,4.018
BMoPd3,17.0701,16.124,-0.9461
CaSmO,38.0073,35.7531,-2.2541
ScTaW2,83.8116,75.0911,-8.7205
Rb2HfAuSe4,42.9089,33.2097,-9.6992
ZnTePb2,38.8232,39.0559,0.2327
CaSm4Tm,22.6771,25.1,2.4229
Ca2WN2,14.4322,8.1499,-6.2822
Zn4Pb3,27.166,28.0308,0.8648
Fe3AgI,12.5751,11.6748,-0.9003
Ta4CrMo,45.9429,41.2154,-4.7275
Ta2GeOs,31.2139,36.1286,4.9147
Ta2InOs2,25.8089,33.0275,7.2186
Te2AsPb,36.7175,35.9566,-0.7609
La2AlNi9,13.1358,12.2555,-0.8803
CaNiMo4,24.2448,24.2488,0.004
Y(AgI2)3,14.9994,13.8794,-1.12
CrGe2(PbO3)3,12.4487,13.0807,0.6321
Ti3Al3Rh2,16.247,13.1203,-3.1267
CoRuPt4,63.8324,48.079,-15.7534
Y(AgI2)3,15.031,13.8794,-1.1516
Zn2TePb,27.6323,27.6317,-0.0006
SmPbO2,18.3887,20.7726,2.3839
NdTl2Sb,42.3519,41.9569,-0.395
La2Pr7Y3,11.1403,9.1193,-2.0211
CaSmPb4,39.8154,41.2237,1.4082
Zn2PPb,18.1024,19.4335,1.3311
ScWBr3,18.4996,17.0275,-1.4722
Ba3(Sr2Ac)2,20.4102,21.9953,1.5851
AcPm6Nd2Y3,25.3672,26.6292,1.262
TaTi5Os4,22.3306,26.7804,4.4498
NaPuSiO5,3.6033,6.1283,2.525
CaLaSn4,18.3831,18.2058,-0.1773
Te2AsP,33.3562,31.749,-1.6072
CaPmSn4,14.0205,16.5478,2.5273
V2CdO10,15.0279,11.7005,-3.3275
Tm2TaRu3,23.9211,28.0842,4.1631
RbTaOsRh2,36.8895,31.5264,-5.3631
As2PPb,28.2948,26.6554,-1.6394
ZnPPb,21.7765,23.012,1.2356
Rb3H3Rh,4.9424,2.39,-2.5523
Sr2Tl4Cd3,34.0046,32.6323,-1.3723
TePPb,33.3294,33.2572,-0.0722
Th5NiSb3,46.8007,45.9218,-0.8789
Cs3LaSi3(HO5)2,-0.0,-0.0,0.0
Sr3(Tl2In)2,31.1377,32.068,0.9303
Ta4CoRu,42.8576,39.4137,-3.4439
CaSnHg4,4.1571,4.6247,0.4676
Ta4Os3Pt2,49.7989,47.4188,-2.3801
Pm2BeRu,29.6495,28.0535,-1.5961
TiInRu,13.3663,16.8537,3.4873
Sr4CaIn,14.1403,14.5575,0.4172
TaNb5H4,74.3387,61.1333,-13.2054
Tb2Ho3Th4,44.7356,47.5198,2.7843
TaAg2Os,35.5292,35.1319,-0.3973
LiMn2Al,53.7255,43.0741,-10.6514
BaMn6O12,81.1131,71.2991,-9.814
Pm2H4Cl,6.8704,9.6397,2.7694
RbZnFe3,4.8208,4.1293,-0.6915
Zn3CrP,26.4973,24.153,-2.3443
Sm2HSe2,22.4067,23.997,1.5902
InOs2I,32.8736,35.1343,2.2606
YTcSeN2,60.4066,49.7607,-10.6459
InW,22.6705,29.0278,6.3573
CaCrFe2,30.8028,23.5301,-7.2727
ScIrRu2,28.4062,24.4475,-3.9587
Ta3NiIr,32.8125,36.2766,3.4641
CaWN3,28.9511,18.6272,-10.3239
Sb2WC,49.7705,41.5065,-8.2639
Pr(TmGe)2,9.2431,13.2081,3.965
Sm3In3PdRu2,20.0222,21.9969,1.9748
InW3,34.3595,39.2163,4.8568
CaMn3(BO3)4,45.8546,40.8226,-5.032
Re2PdW,34.0943,38.8097,4.7153
K2TlAg,26.6109,24.324,-2.2869
Tb4AgSb,25.7637,25.869,0.1053
Tb2YTcN4,28.2579,24.7992,-3.4587
FeRe4Au,42.4949,41.2162,-1.2787
NaLa3Ti,41.9249,30.889,-11.0359
LaZrCo10,17.5371,16.5184,-1.0187
Ba4Si2H,4.703,3.8423,-0.8606
ZrNbCo10,25.0764,22.8578,-2.2186
Ba3ErIrRuO9,-0.0,0.6182,0.6182
Cs2SrCrF6,14.8385,13.2296,-1.6089
TaNiIr3,36.4553,38.1839,1.7286
NaLa3Mn,57.0078,45.9419,-11.0659
BaLaZnRuO6,20.5606,16.8771,-3.6835
SrY2Be,16.6092,13.9245,-2.6847
Cs2CrMoF6,15.1836,13.5872,-1.5964
P5Os,10.2022,12.2302,2.028
ZrNpCo10,19.0675,19.7051,0.6376
Sc(MnAs)2,47.9016,36.691,-11.2106
P3Os,13.5311,16.3304,2.7993
Pr2Ge2Ru,20.4293,20.9782,0.5489
La2NiBi,40.6562,35.6099,-5.0463
P2Os,16.383,19.5826,3.1996
POsO3,16.7245,14.7914,-1.9331
Pm3VN5,13.45,13.0183,-0.4317
NaSrPtPb,44.6595,38.5402,-6.1192
PrZrCo10,12.835,13.1705,0.3355
Tc2Ru4Pt3,57.5774,46.8253,-10.7521
Tc2Ir3Os4,43.2401,43.9189,0.6788
Tc2Ru3Rh4,53.7928,41.6695,-12.1234
Cs2KCrOF5,13.2887,11.9883,-1.3004
Li2CaFe,15.9697,13.7037,-2.2659
Pr2Y(IN)2,23.9794,21.7199,-2.2595
SmTmCo10,9.6482,11.5979,1.9497
CSe2S,50.6044,37.0768,-13.5276
Ta3Ru2Au3,35.3847,38.518,3.1333
AcPaCu10,16.5727,18.0093,1.4365
CaTb2TmSe4,43.8861,37.3001,-6.586
Zn(H2Rh)2,10.9892,7.9076,-3.0816
AcPr(YP2)2,25.0584,21.4236,-3.6349
HgRh2W,33.9727,29.5137,-4.459
TlOs2Pb,47.8783,50.5032,2.625
La2BeFe,35.2997,25.3951,-9.9046
CsPmPt10,78.3579,56.9996,-21.3582
LaBeFe2,22.582,16.4133,-6.1687
BeNiAg2,18.0996,15.6754,-2.4242
Tm(SnRu)6,19.2276,21.243,2.0154
NaNdMg2,13.6582,13.8707,0.2125
La2BeFe,35.2695,25.3951,-9.8744
Pr3YP4,7.1263,6.4964,-0.6299
Cs2TlFeF6,13.2483,14.7884,1.5401
CsAcAu10,46.5119,47.3485,0.8366
Fe3HgC,16.8513,12.385,-4.4663
